Training Dataset,Number of Bottlenecks,Number of Dense Layers,Number of Last Layer Parameters,Number of Highest Internal Layer Parameters,Number of Lowest Internal Layer Parameters,Number of Output Features,Number of Convolutional Layers,Origin,Number of Residual Blocks,Number of First Layer Parameters,Number of Pooling Layers,Number of Parameters,Number of Layers,Model,Number of Recurrent Layers,Number of Attention Layers,Crop Percentage,Architecture Family,Number of Normalization Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Year Made,Training Type,Primary Application,Key Distinguishing Feature,Most Common Pooling Type,Most Common Activation Function
ImageNet-1K,28.0,0.0,0.0,15787008.0,2336.0,1000,106.0,timm,0.0,2384.0,9.0,26309272,378,dla102x,0.0,0.0,0.875,dla,105.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided",ReLU
ImageNet-1K,28.0,0.0,0.0,25256960.0,2336.0,1000,106.0,timm,0.0,2384.0,9.0,41282200,378,dla102x2,0.0,0.0,0.875,dla,105.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided",ReLU
ImageNet-1K,46.0,0.0,0.0,39863296.0,2336.0,1000,169.0,timm,0.0,2384.0,11.0,53389720,612,dla169,0.0,0.0,0.875,dla,168.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided",ReLU
ImageNet-1K,0.0,1.0,3073000.0,63593856.0,4724736.0,1000,81.0,timm,0.0,97680.0,3.0,71489284,226,dm_nfnet_f0,0.0,0.0,0.9,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,124738816.0,4724736.0,1000,153.0,timm,0.0,97680.0,3.0,132634256,418,dm_nfnet_f1,0.0,0.0,0.91,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,185883776.0,4724736.0,1000,225.0,timm,0.0,97680.0,3.0,193779228,610,dm_nfnet_f2,0.0,0.0,0.92,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,247028736.0,4724736.0,1000,297.0,timm,0.0,97680.0,3.0,254924200,802,dm_nfnet_f3,0.0,0.0,0.94,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,308173696.0,4724736.0,1000,369.0,timm,0.0,97680.0,3.0,316069172,994,dm_nfnet_f4,0.0,0.0,0.951,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,369318656.0,4724736.0,1000,441.0,timm,0.0,97680.0,3.0,377214144,1186,dm_nfnet_f5,0.0,0.0,0.954,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,430463616.0,4724736.0,1000,513.0,timm,0.0,97680.0,3.0,438359116,1378,dm_nfnet_f6,0.0,0.0,0.956,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,0.0,0.0,833000.0,833000.0,1000,72.0,timm,0.0,11778602.0,1.0,12611602,389,dpn68,0.0,0.0,0.875,dpn,72.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid",ReLU
ImageNet-1K,0.0,0.0,0.0,833000.0,833000.0,1000,94.0,timm,0.0,11778602.0,1.0,12611602,411,dpn68b,0.0,0.0,0.875,dpn,72.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid",ReLU
ImageNet-1K,0.0,0.0,0.0,2689000.0,2689000.0,1000,96.0,timm,0.0,34979392.0,1.0,37668392,517,dpn92,0.0,0.0,0.875,dpn,96.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid",ReLU
ImageNet-1K,0.0,0.0,0.0,2689000.0,2689000.0,1000,102.0,timm,0.0,58881728.0,1.0,61570728,549,dpn98,0.0,0.0,0.875,dpn,102.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid",ReLU
ImageNet-1K,0.0,0.0,0.0,2689000.0,2689000.0,1000,111.0,timm,0.0,84228800.0,1.0,86917800,597,dpn107,0.0,0.0,0.875,dpn,111.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid",ReLU
ImageNet-1K,0.0,0.0,0.0,2689000.0,2689000.0,1000,135.0,timm,0.0,76565504.0,1.0,79254504,725,dpn131,0.0,0.0,0.875,dpn,135.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid",ReLU
ImageNet-1K,8.0,1.0,2049000.0,8487349.0,8487349.0,1000,31.0,timm,0.0,26232.0,2.0,10593301,232,eca_botnext26ts_256,0.0,0.0,0.95,botnext,31.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Blocks in ResNeXt,Average,"ReLU, GeLU"
ImageNet-1K,5.0,1.0,2049000.0,8650933.0,8650933.0,1000,34.0,timm,0.0,26232.0,1.0,10756885,235,eca_halonext26ts,0.0,0.0,0.94,halonext,31.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Halo Attention with ResNeXt Backbone,"Max, Average, Strided",NA
ImageNet-1K,0.0,1.0,2305000.0,18197692.0,3543552.0,1000,57.0,timm,0.0,97680.0,3.0,24143924,190,eca_nfnet_l0,0.0,0.0,1.0,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,33512312.0,4724736.0,1000,105.0,timm,0.0,97680.0,3.0,41407728,346,eca_nfnet_l1,0.0,0.0,1.0,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,0.0,1.0,3073000.0,48826932.0,4724736.0,1000,153.0,timm,0.0,97680.0,3.0,56722348,502,eca_nfnet_l2,0.0,0.0,1.0,nfnet,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average,GeLU
ImageNet-1K,10.0,1.0,1281000.0,16363566.0,1966080.0,1000,38.0,timm,0.0,26232.0,0.0,19676302,289,eca_resnet33ts,0.0,0.0,0.9,resnet,38.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,8.0,1.0,2049000.0,8192036.0,8192036.0,1000,31.0,timm,0.0,26232.0,1.0,10297988,238,eca_resnext26ts,0.0,0.0,0.9,resnext,31.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average",ReLU
ImageNet-1K,8.0,1.0,2049000.0,10502158.0,128.0,1000,31.0,timm,8.0,26104.0,4.0,16011916,156,ecaresnet26t,0.0,0.0,0.95,resnet,31.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,14964757.0,128.0,1000,55.0,timm,16.0,28640.0,4.0,25576350,276,ecaresnet50d,0.0,0.0,0.875,resnet,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2023000.0,12241013.0,128.0,1000,55.0,timm,16.0,28640.0,4.0,19939713,276,ecaresnet50d_pruned,0.0,0.0,0.875,resnet,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,14964757.0,128.0,1000,55.0,timm,16.0,26104.0,4.0,25573814,276,ecaresnet50t,0.0,0.0,0.95,resnet,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,33.0,1.0,2049000.0,26090611.0,128.0,1000,106.0,timm,33.0,28640.0,4.0,44568563,531,ecaresnet101d,0.0,0.0,0.875,resnet,106.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,33.0,1.0,2043000.0,11450552.0,128.0,1000,106.0,timm,33.0,28640.0,4.0,24876040,531,ecaresnet101d_pruned,0.0,0.0,0.875,resnet,106.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,89.0,1.0,2049000.0,54020336.0,128.0,1000,274.0,timm,89.0,28640.0,4.0,102093077,1371,ecaresnet269d,0.0,0.0,1.0,resnet,274.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,14964757.0,128.0,1000,53.0,timm,16.0,9408.0,4.0,30162046,269,ecaresnetlight,0.0,0.0,0.875,resnet,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,43.0,586168.0,17914924.0,17914924.0,1000,26.0,timm,0.0,4080.0,0.0,18511292,238,edgenext_base,0.0,0.0,0.95,edgenext,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid",GeLU
ImageNet-1K,0.0,43.0,305608.0,5275408.0,5275408.0,1000,26.0,timm,0.0,2448.0,0.0,5586832,238,edgenext_small,0.0,0.0,0.95,edgenext,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid",GeLU
ImageNet-1K,0.0,43.0,385768.0,7424976.0,7424976.0,1000,23.0,timm,0.0,11760.0,0.0,7826512,232,edgenext_small_rw,0.0,0.0,0.9,edgenext,23.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid",GeLU
ImageNet-1K,0.0,43.0,193384.0,2139656.0,2139656.0,1000,26.0,timm,0.0,1632.0,0.0,2336804,238,edgenext_x_small,0.0,0.0,0.9,edgenext,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid",GeLU
ImageNet-1K,0.0,31.0,169336.0,1155332.0,1155332.0,1000,20.0,timm,0.0,1224.0,0.0,1327216,178,edgenext_xx_small,0.0,0.0,0.9,edgenext,20.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid",GeLU
ImageNet-1K,0.0,6.0,449000.0,11379408.0,896.0,1000,33.0,timm,0.0,11232.0,14.0,12289928,228,efficientformer_l1,0.0,1.0,0.95,efficientformer,36.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency in Image Processing for Transformers,Average,GeLU
ImageNet-1K,0.0,18.0,513000.0,30357824.0,1024.0,1000,49.0,timm,0.0,19584.0,22.0,31406000,377,efficientformer_l3,0.0,4.0,0.95,efficientformer,58.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency in Image Processing for Transformers,Average,GeLU
ImageNet-1K,0.0,34.0,769000.0,80643456.0,1536.0,1000,65.0,timm,0.0,43200.0,30.0,82229328,541,efficientformer_l7,0.0,8.0,0.95,efficientformer,82.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency in Image Processing for Transformers,Average,GeLU
ImageNet-1K,0.0,1.0,1793000.0,16619304.0,802816.0,1000,160.0,timm,0.0,1296.0,0.0,19341616,621,efficientnet_b4,0.0,0.0,1.0,efficientnet,96.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average,ReLU
ImageNet-1K,0.0,1.0,1793000.0,21499376.0,487424.0,1000,172.0,timm,0.0,648.0,0.0,23941296,700,efficientnetv2_rw_s,0.0,0.0,1.0,efficientnetv2,112.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,1537000.0,22535680.0,5280.0,1000,244.0,timm,0.0,928.0,5.0,55843464,1008,ens_adv_inception_resnet_v2,0.0,0.0,0.8975,inception_resnet,204.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2016.0,Supervised,Image Classification,Inception with Residual Connections,Average,ReLU
ImageNet-1K,0.0,1.0,1025000.0,5495872.0,5495872.0,1000,41.0,timm,0.0,11456.0,3.0,6543080,169,ese_vovnet19b_dw,0.0,0.0,0.875,vovnet,23.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Object Detection,One shot aggregation,Max,ReLU
ImageNet-1K,0.0,1.0,1025000.0,23411200.0,23411200.0,1000,43.0,timm,0.0,112832.0,3.0,24568936,239,ese_vovnet39b,0.0,0.0,0.875,vovnet,39.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Object Detection,One shot aggregation,Max,ReLU
ImageNet-1K,0.0,1.0,1985000.0,2844032.0,698368.0,1000,65.0,timm,0.0,432.0,0.0,5572200,336,fbnetc_100,0.0,0.0,0.875,fbnet,65.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average,ReLU
ImageNet-1K,0.0,1.0,1985000.0,3900136.0,2666496.0,1000,124.0,timm,0.0,432.0,0.0,8598464,525,fbnetv3_b,0.0,0.0,0.95,fbnet,87.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average,ReLU
ImageNet-1K,0.0,1.0,1985000.0,5407056.0,2856960.0,1000,135.0,timm,0.0,648.0,0.0,10306272,574,fbnetv3_d,0.0,0.0,0.95,fbnet,96.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average,ReLU
ImageNet-1K,0.0,1.0,1985000.0,11118808.0,3428352.0,1000,154.0,timm,0.0,864.0,0.0,16623888,646,fbnetv3_g,0.0,0.0,0.95,fbnet,107.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average,ReLU
ImageNet-1K,0.0,1.0,1025000.0,12320049.0,212992.0,1000,194.0,timm,0.0,648.0,0.0,13677713,787,gc_efficientnetv2_rw_t,0.0,0.0,1.0,efficientnetv2,136.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average",ReLU
ImageNet-1K,10.0,1.0,1281000.0,16567962.0,1966080.0,1000,68.0,timm,0.0,26232.0,0.0,19880698,349,gcresnet33ts,0.0,0.0,0.9,resnet,48.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,23768856.0,23768856.0,1000,103.0,timm,0.0,26232.0,0.0,25897080,525,gcresnet50t,0.0,0.0,0.9,resnet,71.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,8.0,1.0,2049000.0,8370648.0,8370648.0,1000,55.0,timm,0.0,26232.0,1.0,10476600,286,gcresnext26ts,0.0,0.0,0.9,resnext,39.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,13539096.0,13539096.0,1000,103.0,timm,0.0,26232.0,1.0,15667320,526,gcresnext50ts,0.0,0.0,0.9,resnext,71.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average",ReLU
ImageNet-1K,0.0,125.0,1025000.0,89118556.0,89118556.0,1000,49.0,timm,0.0,177280.0,5.0,90320836,755,gcvit_base,0.0,31.0,0.875,gcvit,71.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token",GeLU
ImageNet-1K,0.0,125.0,769000.0,50222469.0,50222469.0,1000,49.0,timm,0.0,100704.0,5.0,51092173,755,gcvit_small,0.0,31.0,0.875,gcvit,71.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token",GeLU
ImageNet-1K,0.0,125.0,513000.0,27663342.0,27663342.0,1000,49.0,timm,0.0,45632.0,5.0,28221974,755,gcvit_tiny,0.0,31.0,0.875,gcvit,71.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token",GeLU
ImageNet-1K,0.0,73.0,513000.0,19422662.0,19422662.0,1000,49.0,timm,0.0,45632.0,5.0,19981294,508,gcvit_xtiny,0.0,18.0,0.875,gcvit,45.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token",GeLU
ImageNet-1K,0.0,49.0,513000.0,11436796.0,11436796.0,1000,49.0,timm,0.0,45632.0,5.0,11995428,394,gcvit_xxtiny,0.0,12.0,0.875,gcvit,33.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token",GeLU
ImageNet-1K,15.0,1.0,2561000.0,26775424.0,1638400.0,1000,57.0,timm,3.0,928.0,0.0,31078280,417,gernet_l,0.0,0.0,0.875,gernet,57.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Efficiency on GPU,Average,ReLU
ImageNet-1K,11.0,1.0,2561000.0,16875904.0,1638400.0,1000,45.0,timm,3.0,928.0,0.0,21142920,329,gernet_m,0.0,0.0,0.875,gernet,45.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Efficiency on GPU,Average,ReLU
ImageNet-1K,10.0,1.0,1921000.0,5726336.0,491520.0,1000,45.0,timm,4.0,377.0,0.0,8173761,327,gernet_s,0.0,0.0,0.875,gernet,45.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Efficiency on GPU,Average,ReLU
ImageNet-1K,16.0,1.0,1281000.0,2669044.0,32.0,1000,95.0,timm,0.0,432.0,0.0,5182508,411,ghostnet_100,0.0,0.0,0.875,ghostnet,80.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2019.0,Supervised,Image Classification,Ghost Modules for Efficiency,Average,ReLU
ImageNet-1K,0.0,1.0,2049000.0,6076800.0,5280.0,1000,94.0,timm,0.0,928.0,2.0,23834568,300,gluon_inception_v3,0.0,0.0,0.875,inception_v3,94.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015.0,Supervised,Image Classification,"Label Smoothing, Factorized Convolutions","Max, Average",ReLU
ImageNet-1K,0.0,1.0,513000.0,8393728.0,128.0,1000,20.0,timm,8.0,9408.0,1.0,11689512,94,gluon_resnet18_v1b,0.0,0.0,0.875,resnet,20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,513000.0,13114368.0,128.0,1000,36.0,timm,16.0,9408.0,1.0,21797672,166,gluon_resnet34_v1b,0.0,0.0,0.875,resnet,36.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,14964736.0,128.0,1000,53.0,timm,16.0,9408.0,1.0,25557032,217,gluon_resnet50_v1b,0.0,0.0,0.875,resnet,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,14964736.0,128.0,1000,55.0,timm,16.0,28640.0,1.0,25576264,224,gluon_resnet50_v1c,0.0,0.0,0.875,resnet,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,14964736.0,128.0,1000,55.0,timm,16.0,28640.0,4.0,25576264,228,gluon_resnet50_v1d,0.0,0.0,0.875,resnet,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,16.0,1.0,2049000.0,14964736.0,256.0,1000,55.0,timm,16.0,112576.0,1.0,25680808,224,gluon_resnet50_v1s,0.0,0.0,0.875,resnet,55.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,33.0,1.0,2049000.0,26090496.0,128.0,1000,104.0,timm,33.0,9408.0,1.0,44549160,421,gluon_resnet101_v1b,0.0,0.0,0.875,resnet,104.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,33.0,1.0,2049000.0,26090496.0,128.0,1000,106.0,timm,33.0,28640.0,1.0,44568392,428,gluon_resnet101_v1c,0.0,0.0,0.875,resnet,106.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,33.0,1.0,2049000.0,26090496.0,128.0,1000,106.0,timm,33.0,28640.0,4.0,44568392,432,gluon_resnet101_v1d,0.0,0.0,0.875,resnet,106.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,33.0,1.0,2049000.0,26090496.0,256.0,1000,106.0,timm,33.0,112576.0,1.0,44672936,428,gluon_resnet101_v1s,0.0,0.0,0.875,resnet,106.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,50.0,1.0,2049000.0,40613888.0,128.0,1000,155.0,timm,50.0,9408.0,1.0,60192808,625,gluon_resnet152_v1b,0.0,0.0,0.875,resnet,155.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,50.0,1.0,2049000.0,40613888.0,128.0,1000,157.0,timm,50.0,28640.0,1.0,60212040,632,gluon_resnet152_v1c,0.0,0.0,0.875,resnet,157.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,50.0,1.0,2049000.0,40613888.0,128.0,1000,157.0,timm,50.0,28640.0,4.0,60212040,636,gluon_resnet152_v1d,0.0,0.0,0.875,resnet,157.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,50.0,1.0,2049000.0,40613888.0,256.0,1000,157.0,timm,50.0,112576.0,1.0,60316584,632,gluon_resnet152_v1s,0.0,0.0,0.875,resnet,157.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
