Training Dataset,Number of Bottlenecks,Number of Dense Layers,Number of Last Layer Parameters,Number of Highest Internal Layer Parameters,Number of Lowest Internal Layer Parameters,Number of Output Features,Number of Convolutional Layers,Origin,Number of Residual Blocks,Number of First Layer Parameters,Number of Pooling Layers,Number of Parameters,Number of Layers,Model,Number of Recurrent Layers,Number of Attention Layers,Crop Percentage,Architecture Family,Number of Normalization Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Year Made,Training Type,Primary Application,Key Distinguishing Feature,Most Common Pooling Type,Most Common Activation Function
ImageNet-1K,0.0,1.0,,,,1000,35.0,keras,10.0,,0.0,3538984,156,mobilenet_v2,0.0,0.0,,mobilenet,52.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection",Efficiency on Mobile Devices,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,48.0,keras,110.0,,78.0,88949818,1041,NASNet_large,0.0,0.0,,nasnet,264.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,36.0,keras,80.0,,60.0,5326716,771,NASNet_mobile,0.0,0.0,,nasnet,192.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2017.0,Supervised,"Image Classification, Object Detection",Neural Architecture Search,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,44.0,keras,0.0,,0.0,2705640,145,regnetx002,0.0,0.0,,regnetx,44.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,71.0,keras,0.0,,0.0,5194184,235,regnetx004,0.0,0.0,,regnetx,71.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,53.0,keras,0.0,,0.0,6229320,175,regnetx006,0.0,0.0,,regnetx,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,53.0,keras,0.0,,0.0,7296968,175,regnetx008,0.0,0.0,,regnetx,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,59.0,keras,0.0,,0.0,9233640,195,regnetx016,0.0,0.0,,regnetx,59.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,80.0,keras,0.0,,0.0,15359112,265,regnetx032,0.0,0.0,,regnetx,80.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,74.0,keras,0.0,,0.0,22194312,245,regnetx040,0.0,0.0,,regnetx,74.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,56.0,keras,0.0,,0.0,26283464,185,regnetx064,0.0,0.0,,regnetx,56.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,74.0,keras,0.0,,0.0,39663112,245,regnetx080,0.0,0.0,,regnetx,74.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,62.0,keras,0.0,,0.0,46202440,205,regnetx120,0.0,0.0,,regnetx,62.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,71.0,keras,0.0,,0.0,54389704,235,regnetx160,0.0,0.0,,regnetx,71.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,74.0,keras,0.0,,0.0,107973576,245,regnetx320,0.0,0.0,,regnetx,74.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Systematic Network Design No Squeeze Excitation,Average,ReLU
ImageNet-1K,0.0,1.0,,,,1000,70.0,keras,0.0,,0.0,3183844,197,regnety002,0.0,0.0,,regnety,44.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,85.0,keras,0.0,,0.0,4371296,239,regnety004,0.0,0.0,,regnety,53.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,80.0,keras,0.0,,0.0,6084920,225,regnety006,0.0,0.0,,regnety,50.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,75.0,keras,0.0,,0.0,6293056,211,regnety008,0.0,0.0,,regnety,47.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,140.0,keras,0.0,,0.0,11255102,393,regnety016,0.0,0.0,,regnety,86.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,110.0,keras,0.0,,0.0,19502498,309,regnety032,0.0,0.0,,regnety,68.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,115.0,keras,0.0,,0.0,20708928,323,regnety040,0.0,0.0,,regnety,71.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,130.0,keras,0.0,,0.0,30665684,365,regnety064,0.0,0.0,,regnety,80.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,90.0,keras,0.0,,0.0,39265812,253,regnety080,0.0,0.0,,regnety,56.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,100.0,keras,0.0,,0.0,51918928,281,regnety120,0.0,0.0,,regnety,62.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,95.0,keras,0.0,,0.0,83712956,267,regnety160,0.0,0.0,,regnety,59.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,105.0,keras,0.0,,0.0,145205058,295,regnety320,0.0,0.0,,regnety,65.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020.0,Supervised,Image Classification,Regnet With Squeeze Excitation,Average,NA
ImageNet-1K,0.0,1.0,,,,1000,173.0,keras,33.0,,3.0,63724296,529,resnet-rs-101,0.0,0.0,,resnet,107.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,258.0,keras,50.0,,3.0,86773256,784,resnet-rs-152,0.0,0.0,,resnet,158.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,338.0,keras,66.0,,3.0,93386248,1090,resnet-rs-200,0.0,0.0,,resnet,206.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,458.0,keras,90.0,,3.0,130104520,1474,resnet-rs-270,0.0,0.0,,resnet,278.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,588.0,keras,116.0,,3.0,164268360,1890,resnet-rs-350,0.0,0.0,,resnet,356.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,703.0,keras,139.0,,3.0,192262216,2258,resnet-rs-420,0.0,0.0,,resnet,425.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,88.0,keras,16.0,,3.0,35745288,274,resnet-rs-50,0.0,0.0,,resnet,56.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,104.0,keras,33.0,,4.0,44675560,379,resnet101v2,0.0,0.0,,resnet,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,155.0,keras,50.0,,4.0,60380648,566,resnet152v2,0.0,0.0,,resnet,151.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
ImageNet-1K,0.0,1.0,,,,1000,53.0,keras,16.0,,4.0,25613800,192,resnet50v2,0.0,0.0,,resnet,49.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average",ReLU
https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,0.0,0.0,,,,1,19.0,pytorch,0.0,,4.0,7763041,73,brain-segmentation-pytorch,0.0,0.0,,unet,18.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019.0,Supervised,Image Segmentation,U-shaped Architecture for Segmentation,Max,ReLU
COCO,,,,,,512,,tfhub,,,,15304768,2,vgg19-block5-conv2-unpooling-encoder,,,,vgg,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max,ReLU
COCO,,,,,,512,,tfhub,,,,5865536,2,vgg19-block4-conv2-unpooling-encoder,,,,vgg,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max,ReLU
COCO,,,,,,512,,tfhub,,,,38720,1,vgg19-block1-conv2-unpooling-encoder,,,,vgg,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2014.0,Supervised,Image Classification,Deep Architecture with 11 Layers,Max,ReLU
ImageNet-1K,0.0,1.0,2049000.0,6076800.0,5280.0,1000,94.0,timm,0.0,928.0,2.0,23834568,300,adv_inception_v3,0.0,0.0,0.875,inception_v3,94.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015.0,Supervised,Image Classification,"Label Smoothing, Factorized Convolutions","Max, Average",ReLU
ImageNet-1K,8.0,1.0,2049000.0,8619456.0,8619456.0,1000,79.0,timm,0.0,26232.0,1.0,10731200,414,bat_resnext26ts,0.0,0.0,0.9,resnext,63.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average",ReLU
ImageNet-1K,0.0,49.0,769000.0,85026816.0,1536.0,1000,1.0,timm,0.0,590592.0,0.0,86530984,189,beit_base_patch16_224,0.0,12.0,0.9,beit,25.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average,GeLU
ImageNet-1K,0.0,49.0,769000.0,85026816.0,1536.0,1000,1.0,timm,0.0,590592.0,0.0,86744104,189,beit_base_patch16_384,0.0,12.0,1.0,beit,25.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average,GeLU
ImageNet-1K,0.0,97.0,1025000.0,302235648.0,2048.0,1000,1.0,timm,0.0,787456.0,0.0,304430568,369,beit_large_patch16_224,0.0,24.0,0.9,beit,49.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average,GeLU
ImageNet-1K,0.0,97.0,1025000.0,302235648.0,2048.0,1000,1.0,timm,0.0,787456.0,0.0,304998888,369,beit_large_patch16_384,0.0,24.0,1.0,beit,49.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average,GeLU
ImageNet-1K,0.0,97.0,1025000.0,302235648.0,2048.0,1000,1.0,timm,0.0,787456.0,0.0,305674728,369,beit_large_patch16_512,0.0,24.0,1.0,beit,49.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Self-supervised Learning for Images,Average,GeLU
ImageNet-1K,0.0,49.0,769000.0,85026816.0,1536.0,1000,1.0,timm,0.0,590592.0,0.0,86530984,189,beitv2_base_patch16_224,0.0,12.0,0.9,beitv2,25.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Improvements in Self-Supervised Learning,Class Token,GeLU
ImageNet-1K,0.0,97.0,1025000.0,302235648.0,2048.0,1000,1.0,timm,0.0,787456.0,0.0,304430568,369,beitv2_large_patch16_224,0.0,24.0,0.95,beitv2,49.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2022.0,Self-Supervised,"Image Classification, Image Segmentation",Improvements in Self-Supervised Learning,Class Token,GeLU
