Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Attention Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Max RF,Family
resnet101,44707176,347,33,104,1,0,1,104,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet152,60419944,517,50,155,1,0,1,155,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet50,25636712,177,16,53,1,0,1,53,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet-rs-101,63724296,529,33,173,1,0,3,107,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet-rs-152,86773256,784,50,258,1,0,3,158,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet-rs-200,93386248,1090,66,338,1,0,3,206,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet-rs-270,130104520,1474,90,458,1,0,3,278,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet-rs-350,164268360,1890,116,588,1,0,3,356,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet-rs-420,192262216,2258,139,703,1,0,3,425,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet-rs-50,35745288,274,16,88,1,0,3,56,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet101v2,44675560,379,33,104,1,0,4,100,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet152v2,60380648,566,50,155,1,0,4,151,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
resnet50v2,25613800,192,16,53,1,0,4,49,0,0,1000,ImageNet-1K,NA,NA,NA,resnet
vgg16,138357544,23,0,13,3,0,5,0,0,0,1000,ImageNet-1K,NA,NA,NA,vgg
vgg19,143667240,26,0,16,3,0,5,0,0,0,1000,ImageNet-1K,NA,NA,NA,vgg
xception,22910480,134,12,6,1,0,4,40,0,0,1000,ImageNet-1K,NA,NA,NA,xception
