Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Max RF,Family
imagenet/mobilenet_v2_050_160/feature_vector,706224,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv2
imagenet/efficientnet_v2_imagenet1k_m/feature_vector,53150388,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
experts/bit/r50x1/in21k/instrument,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
experts/bit/r50x1/in21k/food,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
experts/bit/r50x1/in21k/arthropod,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/mobilenet_v2_035_96/feature_vector,410208,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv2
imagenet/efficientnet_v2_imagenet21k_ft1k_l/feature_vector,117746848,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
experts/bit/r50x1/in21k/spermatophyte,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/mobilenet_v2_050_192/feature_vector,706224,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv2
experts/bit/r50x1/in21k/vehicle,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/nasnet_large/feature_vector,84916818,1,NA,NA,NA,NA,NA,NA,NA,4032,ImageNet-1K,NA,NA,NA,nasnet
imagenet/efficientnet_v2_imagenet21k_ft1k_b0/feature_vector,5919312,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/mobilenet_v3_large_075_224/feature_vector,2731616,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,mobilenetv3
imagenet/nasnet_mobile/feature_vector,4269716,1,NA,NA,NA,NA,NA,NA,NA,1056,ImageNet-1K,NA,NA,NA,nasnet
imagenet/mobilenet_v1_050_224/feature_vector,829536,1,NA,NA,NA,NA,NA,NA,NA,512,ImageNet-1K,NA,NA,NA,mobilenet
imagenet/resnet_v2_152/feature_vector,58331648,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
imagenet/efficientnet_v2_imagenet21k_ft1k_xl/feature_vector,207615832,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/efficientnet_v2_imagenet1k_b3/feature_vector,12930622,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/inception_v1/feature_vector,5607184,1,NA,NA,NA,NA,NA,NA,NA,1024,ImageNet-1K,NA,NA,NA,inception
imagenet/efficientnet_v2_imagenet21k_ft1k_s/feature_vector,20331360,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
imagenet/efficientnet_v2_imagenet21k_l/feature_vector,117746848,1,NA,NA,NA,NA,NA,NA,NA,1280,ImageNet-1K,NA,NA,NA,efficientnetv2
bit/s-r50x1,23500352,1,NA,NA,NA,NA,NA,NA,NA,2048,ImageNet-1K,NA,NA,NA,resnetv2
