Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
resnest101e,48275016,699,0,172,1,33,7,139,0,1000,ImageNet-1K,38,layer2.3.conv2.conv,resnest101e,0.875,resnest
resnest200e,70201544,1359,0,337,1,66,7,271,0,1000,ImageNet-1K,78,layer2.11.conv2.conv,resnest200e,0.909,resnest
resnest269e,110929480,1819,0,452,1,89,7,363,0,1000,ImageNet-1K,108,layer2.17.conv2.conv,resnest269e,0.928,resnest
resnet10t,5435488,68,4,14,1,0,4,14,0,1000,ImageNet-1K,8,layer2.0.conv2,resnet10t,0.875,resnet
resnet14t,10081632,84,4,19,1,4,4,19,0,1000,ImageNet-1K,6,layer1.0.conv2,resnet14t,0.875,resnet
resnet18,11689512,94,8,20,1,0,1,20,0,1000,ImageNet-1K,16,layer3.1.conv2,resnet18,0.875,resnet
resnet18d,11708744,104,8,22,1,0,4,22,0,1000,ImageNet-1K,13,layer2.1.conv2,resnet18d,0.875,resnet
resnet26,15995176,121,8,29,1,8,1,29,0,1000,ImageNet-1K,22,layer3.1.conv2,resnet26,0.875,resnet
resnet26d,16014408,132,8,31,1,8,4,31,0,1000,ImageNet-1K,17,layer2.1.conv2,resnet26d,0.875,resnet
resnet26t,16011872,132,8,31,1,8,4,31,0,1000,ImageNet-1K,17,layer2.1.conv2,resnet26t,0.94,resnet
resnet32ts,17963616,265,0,37,1,10,0,37,0,1000,ImageNet-1K,26,stages.2.1.conv2_kxk.conv,resnet32ts,0.9,resnet
resnet33ts,19676256,269,0,38,1,10,0,38,0,1000,ImageNet-1K,26,stages.2.1.conv2_kxk.conv,resnet33ts,0.9,resnet
resnet34,21797672,166,16,36,1,0,1,36,0,1000,ImageNet-1K,25,layer3.3.conv1,resnet34,0.875,resnet
resnet34d,21816904,176,16,38,1,0,4,38,0,1000,ImageNet-1K,21,layer3.0.conv2,resnet34d,0.875,resnet
resnet50,25557032,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,resnet50,0.95,resnet
resnet50_gn,25557032,217,16,53,1,16,1,0,0,1000,ImageNet-1K,34,layer3.2.conv2,resnet50_gn,0.94,resnet
resnet50d,25576264,228,16,55,1,16,4,55,0,1000,ImageNet-1K,29,layer3.0.conv2,resnet50d,0.875,resnet
resnet51q,35696920,398,0,57,1,16,0,55,0,1000,ImageNet-1K,39,stages.2.4.conv2_kxk.conv,resnet51q,1.0,resnet
resnet61q,36846968,434,0,67,1,14,0,67,0,1000,ImageNet-1K,43,stages.2.4.conv2_kxk.conv,resnet61q,1.0,resnet
resnet101,44549160,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,resnet101,0.95,resnet
resnet101d,44568392,432,33,106,1,33,4,106,0,1000,ImageNet-1K,42,layer3.4.conv2,resnet101d,1.0,resnet
resnet152,60192808,625,50,155,1,50,1,155,0,1000,ImageNet-1K,67,layer3.9.conv2,resnet152,0.95,resnet
resnet152d,60212040,636,50,157,1,50,4,157,0,1000,ImageNet-1K,60,layer3.6.conv2,resnet152d,1.0,resnet
resnet200d,64693064,828,66,205,1,66,4,205,0,1000,ImageNet-1K,89,layer3.0.conv2,resnet200d,1.0,resnet
resnetaa50,25557032,217,16,53,1,16,4,53,0,1000,ImageNet-1K,26,layer3.0.conv2,resnetaa50,0.875,resnet
resnetblur50,25557032,219,16,53,1,16,1,53,0,1000,ImageNet-1K,24,layer2.3.conv2,resnetblur50,0.875,resnet
resnetrs50,35691912,327,16,88,1,16,3,56,0,1000,ImageNet-1K,43,layer3.0.conv2,resnetrs50,0.91,resnet
resnetrs101,63618696,633,33,173,1,33,3,107,0,1000,ImageNet-1K,64,layer3.4.conv2,resnetrs101,0.94,resnet
resnetrs152,86621576,939,50,258,1,50,3,158,0,1000,ImageNet-1K,94,layer3.6.conv2,resnetrs152,1.0,resnet
resnetrs200,93209992,1227,66,338,1,66,3,206,0,1000,ImageNet-1K,143,layer3.0.conv2,resnetrs200,1.0,resnet
resnetrs270,129861448,1659,90,458,1,90,3,278,0,1000,ImageNet-1K,189,layer3.3.conv2,resnetrs270,1.0,resnet
resnetrs350,163956168,2127,116,588,1,116,3,356,0,1000,ImageNet-1K,234,layer3.5.conv2,resnetrs350,1.0,resnet
resnetrs420,191891656,2541,139,703,1,139,3,425,0,1000,ImageNet-1K,274,layer3.5.conv2,resnetrs420,1.0,resnet
resnetv2_50,25549352,258,0,54,0,16,1,49,0,1000,ImageNet-1K,37,stages.2.blocks.3.conv2,resnetv2_50,0.95,resnet
resnetv2_50d_evos,25591368,168,0,56,0,16,4,0,0,1000,ImageNet-1K,30,stages.2.blocks.0.conv2,resnetv2_50d_evos,0.95,resnet
resnetv2_50d_gn,25568584,270,0,56,0,16,4,0,0,1000,ImageNet-1K,30,stages.2.blocks.0.conv2,resnetv2_50d_gn,0.95,resnet
resnetv2_50x1_bit_distilled,25549352,259,0,54,0,16,1,0,0,1000,ImageNet-1K,37,stages.2.blocks.3.conv2,resnetv2_50x1_bit_distilled,0.875,resnet
resnetv2_50x1_bitm,25549352,259,0,54,0,16,1,0,0,1000,ImageNet-1K,37,stages.2.blocks.3.conv2,resnetv2_50x1_bitm,1.0,resnet
resnetv2_50x1_bitm_in21k,68256659,259,0,54,0,16,1,0,0,21843,ImageNet-21K,37,stages.2.blocks.3.conv2,resnetv2_50x1_bitm_in21k,0.875,resnet
resnetv2_50x3_bitm,217319080,259,0,54,0,16,1,0,0,1000,ImageNet-1K,37,stages.2.blocks.3.conv2,resnetv2_50x3_bitm,1.0,resnet
resnetv2_50x3_bitm_in21k,345399315,259,0,54,0,16,1,0,0,21843,ImageNet-21K,37,stages.2.blocks.3.conv2,resnetv2_50x3_bitm_in21k,0.875,resnet
resnetv2_101,44541480,496,0,105,0,33,1,100,0,1000,ImageNet-1K,49,stages.2.blocks.7.conv2,resnetv2_101,0.95,resnet
resnetv2_101x1_bitm,44541480,497,0,105,0,33,1,0,0,1000,ImageNet-1K,49,stages.2.blocks.7.conv2,resnetv2_101x1_bitm,1.0,resnet
resnetv2_101x1_bitm_in21k,87248787,496,0,105,0,33,1,0,0,21843,ImageNet-21K,49,stages.2.blocks.7.conv2,resnetv2_101x1_bitm_in21k,0.875,resnet
resnetv2_101x3_bitm,387934888,497,0,105,0,33,1,0,0,1000,ImageNet-1K,49,stages.2.blocks.7.conv2,resnetv2_101x3_bitm,1.0,resnet
resnetv2_101x3_bitm_in21k,516015123,497,0,105,0,33,1,0,0,21843,ImageNet-21K,49,stages.2.blocks.7.conv2,resnetv2_101x3_bitm_in21k,0.875,resnet
resnetv2_152x2_bit_teacher,236335208,735,0,156,0,50,1,0,0,1000,ImageNet-1K,67,stages.2.blocks.9.conv2,resnetv2_152x2_bit_teacher,0.875,resnet
resnetv2_152x2_bit_teacher_384,236335208,735,0,156,0,50,1,0,0,1000,ImageNet-1K,67,stages.2.blocks.9.conv2,resnetv2_152x2_bit_teacher_384,1.0,resnet
resnetv2_152x2_bitm,236335208,735,0,156,0,50,1,0,0,1000,ImageNet-1K,67,stages.2.blocks.9.conv2,resnetv2_152x2_bitm,1.0,resnet
resnetv2_152x2_bitm_in21k,321728979,735,0,156,0,50,1,0,0,21843,ImageNet-21K,67,stages.2.blocks.9.conv2,resnetv2_152x2_bitm_in21k,0.875,resnet
resnetv2_152x4_bitm,936533224,735,0,156,0,50,1,0,0,1000,ImageNet-1K,67,stages.2.blocks.9.conv2,resnetv2_152x4_bitm,1.0,resnet
resnetv2_152x4_bitm_in21k,1107299923,735,0,156,0,50,1,0,0,21843,ImageNet-21K,67,stages.2.blocks.9.conv2,resnetv2_152x4_bitm_in21k,0.875,resnet
resnext26ts,10297952,222,0,31,1,8,1,31,0,1000,ImageNet-1K,24,stages.2.1.conv2_kxk.conv,resnext26ts,0.9,resnext
resnext50_32x4d,25028904,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,resnext50_32x4d,0.95,resnext
resnext50d_32x4d,25048136,228,16,55,1,16,4,55,0,1000,ImageNet-1K,29,layer3.0.conv2,resnext50d_32x4d,0.875,resnext
resnext101_32x8d,88791336,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,resnext101_32x8d,0.875,resnext
resnext101_64x4d,83455272,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,resnext101_64x4d,1.0,resnext
rexnet_100,4796873,363,0,75,1,16,0,62,0,1000,ImageNet-1K,31,features.7.conv_dw.conv,rexnet_100,0.875,rexnet
rexnet_130,7557091,363,0,75,1,16,0,62,0,1000,ImageNet-1K,31,features.7.conv_dw.conv,rexnet_130,0.875,rexnet
rexnet_150,9728593,363,0,75,1,16,0,62,0,1000,ImageNet-1K,31,features.7.conv_dw.conv,rexnet_150,0.875,rexnet
rexnet_200,16366620,363,0,75,1,16,0,62,0,1000,ImageNet-1K,31,features.7.conv_dw.conv,rexnet_200,0.875,rexnet
sebotnet33ts_256,13701984,299,0,50,1,10,1,38,0,1000,ImageNet-1K,22,stages.1.1.conv2_kxk.conv,sebotnet33ts_256,0.94,botnet
sehalonet33ts,13691712,303,0,54,1,6,0,38,0,1000,ImageNet-1K,22,stages.1.1.conv2_kxk.conv,sehalonet33ts,0.94,halonet
selecsls42b,32458248,178,0,41,1,0,0,41,0,1000,ImageNet-1K,22,features.3.conv3.0,selecsls42b,0.875,selecsls
selecsls60,30670768,253,0,59,1,0,0,59,0,1000,ImageNet-1K,30,features.4.conv5.0,selecsls60,0.875,selecsls
selecsls60b,32774064,253,0,59,1,0,0,59,0,1000,ImageNet-1K,30,features.4.conv5.0,selecsls60b,0.875,selecsls
semnasnet_075,2912278,289,0,65,1,0,0,49,0,1000,ImageNet-1K,32,blocks.3.2.conv_dw,semnasnet_075,0.875,nasnet
semnasnet_100,3887038,289,0,65,1,0,0,49,0,1000,ImageNet-1K,32,blocks.3.2.conv_dw,semnasnet_100,0.875,nasnet
sequencer2d_l,54298216,521,0,4,109,0,0,73,72,1000,ImageNet-1K,1,stem.proj,sequencer2d_l,0.875,sequencer
sequencer2d_m,38307688,353,0,4,73,0,0,49,48,1000,ImageNet-1K,1,stem.proj,sequencer2d_m,0.875,sequencer
sequencer2d_s,27651688,269,0,4,55,0,0,37,36,1000,ImageNet-1K,1,stem.proj,sequencer2d_s,0.875,sequencer
seresnet33ts,19779200,319,0,58,1,10,0,38,0,1000,ImageNet-1K,38,stages.2.1.conv2_kxk.conv,seresnet33ts,0.9,resnet
seresnet50,28088024,313,16,85,1,16,1,53,0,1000,ImageNet-1K,52,layer3.2.conv2,seresnet50,0.875,resnet
seresnet152d,66841080,936,50,257,1,50,4,157,0,1000,ImageNet-1K,94,layer3.6.conv2,seresnet152d,1.0,resnet
seresnext26d_32x4d,16809512,180,8,47,1,8,4,31,0,1000,ImageNet-1K,23,layer2.1.conv2,seresnext26d_32x4d,0.875,resnext
seresnext26t_32x4d,16806976,180,8,47,1,8,4,31,0,1000,ImageNet-1K,23,layer2.1.conv2,seresnext26t_32x4d,0.875,resnext
seresnext26ts,10388064,262,0,47,1,8,1,31,0,1000,ImageNet-1K,34,stages.2.1.conv2_kxk.conv,seresnext26ts,0.9,resnext
seresnext50_32x4d,27559896,313,16,85,1,16,1,53,0,1000,ImageNet-1K,52,layer3.2.conv2,seresnext50_32x4d,0.875,resnext
seresnext101_32x8d,93569048,619,33,170,1,33,1,104,0,1000,ImageNet-1K,77,layer3.7.conv2,seresnext101_32x8d,1.0,resnext
seresnext101d_32x8d,93588280,630,33,172,1,33,4,106,0,1000,ImageNet-1K,64,layer3.4.conv2,seresnext101d_32x8d,1.0,resnext
seresnextaa101d_32x8d,93588280,630,33,172,1,33,7,106,0,1000,ImageNet-1K,32,layer2.2.conv2,seresnextaa101d_32x8d,1.0,resnext
skresnet18,11958056,230,0,44,1,0,1,36,0,1000,ImageNet-1K,36,layer4.0.conv1.paths.1.conv,skresnet18,0.875,resnet
skresnet34,22282376,438,0,84,1,0,1,68,0,1000,ImageNet-1K,70,layer4.0.conv1.paths.0.conv,skresnet34,0.875,resnet
skresnext50_32x4d,27479784,521,0,101,1,16,1,85,0,1000,ImageNet-1K,80,layer3.5.conv2.paths.1.conv,skresnext50_32x4d,0.875,resnext
spnasnet_100,4421616,332,0,64,1,0,0,64,0,1000,ImageNet-1K,35,blocks.3.3.conv_dw,spnasnet_100,0.875,nasnet
ssl_resnet18,11689512,94,8,20,1,0,1,20,0,1000,ImageNet-1K,16,layer3.1.conv2,ssl_resnet18,0.875,resnet
ssl_resnet50,25557032,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,ssl_resnet50,0.875,resnet
ssl_resnext50_32x4d,25028904,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,ssl_resnext50_32x4d,0.875,resnext
ssl_resnext101_32x4d,44177704,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,ssl_resnext101_32x4d,0.875,resnext
ssl_resnext101_32x8d,88791336,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,ssl_resnext101_32x8d,0.875,resnext
ssl_resnext101_32x16d,194026792,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,ssl_resnext101_32x16d,0.875,resnext
swin_base_patch4_window7_224,87768224,409,0,1,100,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swin_base_patch4_window7_224,0.9,swin
swin_base_patch4_window7_224_in22k,109130249,409,0,1,100,0,0,53,49,21841,ImageNet-21K,1,patch_embed.proj,swin_base_patch4_window7_224_in22k,0.9,swin
swin_base_patch4_window12_384,87903584,409,0,1,100,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swin_base_patch4_window12_384,1.0,swin
swin_base_patch4_window12_384_in22k,109265609,409,0,1,100,0,0,53,49,21841,ImageNet-21K,1,patch_embed.proj,swin_base_patch4_window12_384_in22k,1.0,swin
swin_large_patch4_window7_224,196532476,409,0,1,100,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swin_large_patch4_window7_224,0.9,swin
swin_large_patch4_window7_224_in22k,228565093,409,0,1,100,0,0,53,49,21841,ImageNet-21K,1,patch_embed.proj,swin_large_patch4_window7_224_in22k,0.9,swin
swin_large_patch4_window12_384,196735516,409,0,1,100,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swin_large_patch4_window12_384,1.0,swin
swin_large_patch4_window12_384_in22k,228768133,409,0,1,100,0,0,53,49,21841,ImageNet-21K,1,patch_embed.proj,swin_large_patch4_window12_384_in22k,1.0,swin
swin_s3_base_224,71125762,601,0,1,148,0,0,77,73,1000,ImageNet-1K,1,patch_embed.proj,swin_s3_base_224,0.9,swin
swin_s3_small_224,49737298,409,0,1,100,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swin_s3_small_224,0.9,swin
swin_s3_tiny_224,28328674,217,0,1,52,0,0,29,25,1000,ImageNet-1K,1,patch_embed.proj,swin_s3_tiny_224,0.9,swin
swin_small_patch4_window7_224,49606258,409,0,1,100,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swin_small_patch4_window7_224,0.9,swin
swin_tiny_patch4_window7_224,28288354,217,0,1,52,0,0,29,25,1000,ImageNet-1K,1,patch_embed.proj,swin_tiny_patch4_window7_224,0.9,swin
swinv2_base_window8_256,87918816,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_base_window8_256,0.9,swin
swinv2_base_window12_192_22k,109280841,530,0,1,148,0,0,53,49,21841,ImageNet-21K,1,patch_embed.proj,swinv2_base_window12_192_22k,0.9,swin
swinv2_base_window12to16_192to256_22kft1k,87918816,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_base_window12to16_192to256_22kft1k,0.9,swin
swinv2_base_window12to24_192to384_22kft1k,87918816,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_base_window12to24_192to384_22kft1k,1.0,swin
swinv2_base_window16_256,87918816,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_base_window16_256,0.9,swin
swinv2_cr_small_224,49695100,576,0,1,148,0,0,53,53,1000,ImageNet-1K,1,patch_embed.proj,swinv2_cr_small_224,0.9,swin
swinv2_cr_small_ns_224,49696444,576,0,1,148,0,0,56,53,1000,ImageNet-1K,1,patch_embed.proj,swinv2_cr_small_ns_224,0.9,swin
swinv2_cr_tiny_ns_224,28333468,300,0,1,76,0,0,32,29,1000,ImageNet-1K,1,patch_embed.proj,swinv2_cr_tiny_ns_224,0.9,swin
swinv2_large_window12_192_22k,228772549,530,0,1,148,0,0,53,49,21841,ImageNet-21K,1,patch_embed.proj,swinv2_large_window12_192_22k,0.9,swin
swinv2_large_window12to16_192to256_22kft1k,196739932,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_large_window12to16_192to256_22kft1k,0.9,swin
swinv2_large_window12to24_192to384_22kft1k,196739932,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_large_window12to24_192to384_22kft1k,1.0,swin
swinv2_small_window8_256,49728418,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_small_window8_256,0.9,swin
swinv2_small_window16_256,49728418,530,0,1,148,0,0,53,49,1000,ImageNet-1K,1,patch_embed.proj,swinv2_small_window16_256,0.9,swin
swinv2_tiny_window8_256,28347154,278,0,1,76,0,0,29,25,1000,ImageNet-1K,1,patch_embed.proj,swinv2_tiny_window8_256,0.9,swin
swinv2_tiny_window16_256,28347154,278,0,1,76,0,0,29,25,1000,ImageNet-1K,1,patch_embed.proj,swinv2_tiny_window16_256,0.9,swin
swsl_resnet18,11689512,94,8,20,1,0,1,20,0,1000,ImageNet-1K,16,layer3.1.conv2,swsl_resnet18,0.875,resnet
swsl_resnet50,25557032,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,swsl_resnet50,0.875,resnet
swsl_resnext50_32x4d,25028904,217,16,53,1,16,1,53,0,1000,ImageNet-1K,34,layer3.2.conv2,swsl_resnext50_32x4d,0.875,resnext
swsl_resnext101_32x4d,44177704,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,swsl_resnext101_32x4d,0.875,resnext
swsl_resnext101_32x8d,88791336,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,swsl_resnext101_32x8d,0.875,resnext
swsl_resnext101_32x16d,194026792,421,33,104,1,33,1,104,0,1000,ImageNet-1K,49,layer3.7.conv2,swsl_resnext101_32x16d,0.875,resnext
tf_efficientnet_b0,5288548,321,0,81,1,0,0,49,0,1000,ImageNet-1K,42,blocks.4.0.conv_dw,tf_efficientnet_b0,0.875,efficientnet
tf_efficientnet_b0_ap,5288548,321,0,81,1,0,0,49,0,1000,ImageNet-1K,42,blocks.4.0.conv_dw,tf_efficientnet_b0_ap,0.875,efficientnet
tf_efficientnet_b0_ns,5288548,321,0,81,1,0,0,49,0,1000,ImageNet-1K,42,blocks.4.0.conv_dw,tf_efficientnet_b0_ns,0.875,efficientnet
tf_efficientnet_b1,7794184,450,0,115,1,0,0,69,0,1000,ImageNet-1K,61,blocks.4.0.conv_dw,tf_efficientnet_b1,0.882,efficientnet
tf_efficientnet_b1_ap,7794184,450,0,115,1,0,0,69,0,1000,ImageNet-1K,61,blocks.4.0.conv_dw,tf_efficientnet_b1_ap,0.882,efficientnet
tf_efficientnet_b1_ns,7794184,450,0,115,1,0,0,69,0,1000,ImageNet-1K,61,blocks.4.0.conv_dw,tf_efficientnet_b1_ns,0.882,efficientnet
tf_efficientnet_b2,9109994,450,0,115,1,0,0,69,0,1000,ImageNet-1K,61,blocks.4.0.conv_dw,tf_efficientnet_b2,0.89,efficientnet
tf_efficientnet_b2_ap,9109994,450,0,115,1,0,0,69,0,1000,ImageNet-1K,61,blocks.4.0.conv_dw,tf_efficientnet_b2_ap,0.89,efficientnet
tf_efficientnet_b2_ns,9109994,450,0,115,1,0,0,69,0,1000,ImageNet-1K,61,blocks.4.0.conv_dw,tf_efficientnet_b2_ns,0.89,efficientnet
tf_efficientnet_b3,12233232,507,0,130,1,0,0,78,0,1000,ImageNet-1K,71,blocks.4.1.conv_dw,tf_efficientnet_b3,0.904,efficientnet
tf_efficientnet_b3_ap,12233232,507,0,130,1,0,0,78,0,1000,ImageNet-1K,71,blocks.4.1.conv_dw,tf_efficientnet_b3_ap,0.904,efficientnet
tf_efficientnet_b3_ns,12233232,507,0,130,1,0,0,78,0,1000,ImageNet-1K,71,blocks.4.1.conv_dw,tf_efficientnet_b3_ns,0.904,efficientnet
tf_efficientnet_b4,19341616,621,0,160,1,0,0,96,0,1000,ImageNet-1K,86,blocks.4.1.conv_dw,tf_efficientnet_b4,0.922,efficientnet
tf_efficientnet_b4_ap,19341616,621,0,160,1,0,0,96,0,1000,ImageNet-1K,86,blocks.4.1.conv_dw,tf_efficientnet_b4_ap,0.922,efficientnet
tf_efficientnet_b4_ns,19341616,621,0,160,1,0,0,96,0,1000,ImageNet-1K,86,blocks.4.1.conv_dw,tf_efficientnet_b4_ns,0.922,efficientnet
tf_efficientnet_b5,30389784,750,0,194,1,0,0,116,0,1000,ImageNet-1K,105,blocks.4.1.conv_dw,tf_efficientnet_b5,0.934,efficientnet
tf_efficientnet_b5_ap,30389784,750,0,194,1,0,0,116,0,1000,ImageNet-1K,105,blocks.4.1.conv_dw,tf_efficientnet_b5_ap,0.934,efficientnet
tf_efficientnet_b5_ns,30389784,750,0,194,1,0,0,116,0,1000,ImageNet-1K,105,blocks.4.1.conv_dw,tf_efficientnet_b5_ns,0.934,efficientnet
tf_efficientnet_b6,43040704,864,0,224,1,0,0,134,0,1000,ImageNet-1K,120,blocks.4.1.conv_dw,tf_efficientnet_b6,0.942,efficientnet
tf_efficientnet_b6_ap,43040704,864,0,224,1,0,0,134,0,1000,ImageNet-1K,120,blocks.4.1.conv_dw,tf_efficientnet_b6_ap,0.942,efficientnet
tf_efficientnet_b6_ns,43040704,864,0,224,1,0,0,134,0,1000,ImageNet-1K,120,blocks.4.1.conv_dw,tf_efficientnet_b6_ns,0.942,efficientnet
tf_efficientnet_b7,66347960,1050,0,273,1,0,0,163,0,1000,ImageNet-1K,149,blocks.4.2.conv_dw,tf_efficientnet_b7,0.949,efficientnet
tf_efficientnet_b7_ap,66347960,1050,0,273,1,0,0,163,0,1000,ImageNet-1K,149,blocks.4.2.conv_dw,tf_efficientnet_b7_ap,0.949,efficientnet
tf_efficientnet_b7_ns,66347960,1050,0,273,1,0,0,163,0,1000,ImageNet-1K,149,blocks.4.2.conv_dw,tf_efficientnet_b7_ns,0.949,efficientnet
tf_efficientnet_b8,87413142,1164,0,303,1,0,0,181,0,1000,ImageNet-1K,164,blocks.4.2.conv_dw,tf_efficientnet_b8,0.954,efficientnet
tf_efficientnet_b8_ap,87413142,1164,0,303,1,0,0,181,0,1000,ImageNet-1K,164,blocks.4.2.conv_dw,tf_efficientnet_b8_ap,0.954,efficientnet
tf_efficientnet_cc_b0_4e,13314116,329,0,57,9,0,0,49,0,1000,ImageNet-1K,17,blocks.2.0.conv_dw,tf_efficientnet_cc_b0_4e,0.875,efficientnet
tf_efficientnet_cc_b0_8e,24013284,329,0,57,9,0,0,49,0,1000,ImageNet-1K,17,blocks.2.0.conv_dw,tf_efficientnet_cc_b0_8e,0.875,efficientnet
tf_efficientnet_cc_b1_8e,39715968,461,0,82,12,0,0,69,0,1000,ImageNet-1K,26,blocks.2.0.conv_dw,tf_efficientnet_cc_b1_8e,0.882,efficientnet
tf_efficientnet_el,10589712,381,0,72,1,0,0,72,0,1000,ImageNet-1K,31,blocks.3.2.conv_dw,tf_efficientnet_el,0.904,efficientnet
tf_efficientnet_em,6899496,340,0,64,1,0,0,64,0,1000,ImageNet-1K,29,blocks.3.2.conv_dw,tf_efficientnet_em,0.882,efficientnet
tf_efficientnet_es,5438392,262,0,49,1,0,0,49,0,1000,ImageNet-1K,20,blocks.3.1.conv_dw,tf_efficientnet_es,0.875,efficientnet
tf_efficientnet_l2_ns,480309308,1669,0,436,1,0,0,260,0,1000,ImageNet-1K,237,blocks.4.4.conv_dw,tf_efficientnet_l2_ns,0.96,efficientnet
tf_efficientnet_l2_ns_475,480309308,1669,0,436,1,0,0,260,0,1000,ImageNet-1K,237,blocks.4.4.conv_dw,tf_efficientnet_l2_ns_475,0.936,efficientnet
tf_efficientnet_lite0,4652008,257,0,49,1,0,0,49,0,1000,ImageNet-1K,26,blocks.4.0.conv_dw,tf_efficientnet_lite0,0.875,efficientnet
tf_efficientnet_lite1,5416680,332,0,64,1,0,0,64,0,1000,ImageNet-1K,35,blocks.4.0.conv_dw,tf_efficientnet_lite1,0.882,efficientnet
tf_efficientnet_lite2,6092072,332,0,64,1,0,0,64,0,1000,ImageNet-1K,35,blocks.4.0.conv_dw,tf_efficientnet_lite2,0.89,efficientnet
tf_efficientnet_lite3,8197096,377,0,73,1,0,0,73,0,1000,ImageNet-1K,38,blocks.4.0.conv_dw,tf_efficientnet_lite3,0.904,efficientnet
tf_efficientnet_lite4,13006568,467,0,91,1,0,0,91,0,1000,ImageNet-1K,50,blocks.4.1.conv_dw,tf_efficientnet_lite4,0.92,efficientnet
tf_efficientnetv2_b0,7139704,374,0,91,1,0,0,59,0,1000,ImageNet-1K,32,blocks.4.1.conv_dw,tf_efficientnetv2_b0,0.875,efficientnet
tf_efficientnetv2_b1,8141052,459,0,111,1,0,0,73,0,1000,ImageNet-1K,37,blocks.4.0.conv_dw,tf_efficientnetv2_b1,0.882,efficientnet
tf_efficientnetv2_b2,10096086,478,0,116,1,0,0,76,0,1000,ImageNet-1K,42,blocks.4.1.conv_dw,tf_efficientnetv2_b2,0.89,efficientnet
tf_efficientnetv2_b3,14358406,554,0,136,1,0,0,88,0,1000,ImageNet-1K,47,blocks.4.1.conv_dw,tf_efficientnetv2_b3,0.904,efficientnet
tf_efficientnetv2_l,118515272,1358,0,339,1,0,0,217,0,1000,ImageNet-1K,125,blocks.4.8.conv_dw,tf_efficientnetv2_l,1.0,efficientnet
tf_efficientnetv2_l_in21ft1k,118515272,1358,0,339,1,0,0,217,0,1000,ImageNet-1K,125,blocks.4.8.conv_dw,tf_efficientnetv2_l_in21ft1k,1.0,efficientnet
tf_efficientnetv2_l_in21k,145215155,1358,0,339,1,0,0,217,0,21843,ImageNet-21K,125,blocks.4.8.conv_dw,tf_efficientnetv2_l_in21k,1.0,efficientnet
tf_efficientnetv2_m,54139356,985,0,245,1,0,0,157,0,1000,ImageNet-1K,91,blocks.4.6.conv_dw,tf_efficientnetv2_m,1.0,efficientnet
tf_efficientnetv2_m_in21ft1k,54139356,985,0,245,1,0,0,157,0,1000,ImageNet-1K,91,blocks.4.6.conv_dw,tf_efficientnetv2_m_in21ft1k,1.0,efficientnet
tf_efficientnetv2_m_in21k,80839239,985,0,245,1,0,0,157,0,21843,ImageNet-21K,91,blocks.4.6.conv_dw,tf_efficientnetv2_m_in21k,1.0,efficientnet
tf_efficientnetv2_s,21458488,690,0,170,1,0,0,110,0,1000,ImageNet-1K,61,blocks.4.2.conv_dw,tf_efficientnetv2_s,1.0,efficientnet
tf_efficientnetv2_s_in21ft1k,21458488,690,0,170,1,0,0,110,0,1000,ImageNet-1K,61,blocks.4.2.conv_dw,tf_efficientnetv2_s_in21ft1k,1.0,efficientnet
