Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,Architecture,Crop Percentage,Family
mixer_l16_224,208196168,391,0,1,97,0,0,49,0,1000,ImageNet-1K,1,stem.proj,mixer_l16_224,0.875,mixer
mixer_l16_224_in21k,229560243,391,0,1,97,0,0,49,0,21843,ImageNet-21K,1,stem.proj,mixer_l16_224_in21k,0.875,mixer
mixnet_l,7329252,471,0,155,1,0,0,58,0,1000,ImageNet-1K,130,blocks.5.1.conv_dw.1,mixnet_l,0.875,mixnet
mixnet_m,5014382,471,0,155,1,0,0,58,0,1000,ImageNet-1K,130,blocks.5.1.conv_dw.1,mixnet_m,0.875,mixnet
mixnet_s,4134606,390,0,123,1,0,0,49,0,1000,ImageNet-1K,106,blocks.5.1.conv_dw.0,mixnet_s,0.875,mixnet
mixnet_xl,11896768,575,0,192,1,0,0,70,0,1000,ImageNet-1K,158,blocks.5.1.conv_dw.1,mixnet_xl,0.875,mixnet
mnasnet_100,4383312,272,0,52,1,0,0,52,0,1000,ImageNet-1K,26,blocks.3.1.conv_dw,mnasnet_100,0.875,nasnet
mnasnet_small,2030264,282,0,66,1,0,0,46,0,1000,ImageNet-1K,24,blocks.3.2.conv_dw,mnasnet_small,0.875,nasnet
mobilenetv2_050,1968680,272,0,52,1,0,0,52,0,1000,ImageNet-1K,23,blocks.3.1.conv_dw,mobilenetv2_050,0.875,mobilenet
mobilenetv2_100,3504872,272,0,52,1,0,0,52,0,1000,ImageNet-1K,23,blocks.3.1.conv_dw,mobilenetv2_100,0.875,mobilenet
mobilenetv2_110d,4516520,347,0,67,1,0,0,67,0,1000,ImageNet-1K,32,blocks.3.2.conv_dw,mobilenetv2_110d,0.875,mobilenet
mobilenetv2_120d,5831144,407,0,79,1,0,0,79,0,1000,ImageNet-1K,38,blocks.3.3.conv_dw,mobilenetv2_120d,0.875,mobilenet
mobilenetv2_140,6108776,272,0,52,1,0,0,52,0,1000,ImageNet-1K,23,blocks.3.1.conv_dw,mobilenetv2_140,0.875,mobilenet
mobilenetv3_large_100,5483032,279,0,63,1,0,0,46,0,1000,ImageNet-1K,29,blocks.3.1.conv_dw,mobilenetv3_large_100,0.875,mobilenet
mobilenetv3_large_100_miil,5483032,279,0,63,1,0,0,46,0,1000,ImageNet-1K,29,blocks.3.1.conv_dw,mobilenetv3_large_100_miil,0.875,mobilenet
mobilenetv3_large_100_miil_in21k,18576133,279,0,63,1,0,0,46,0,11221,ImageNet-21K-P,29,blocks.3.1.conv_dw,mobilenetv3_large_100_miil_in21k,0.875,mobilenet
mobilenetv3_rw,5479918,279,0,63,1,0,0,46,0,1000,ImageNet-1K,29,blocks.3.1.conv_dw,mobilenetv3_rw,0.875,mobilenet
mobilenetv3_small_050,1593224,222,0,53,1,0,0,34,0,1000,ImageNet-1K,23,blocks.2.2.conv_dw,mobilenetv3_small_050,0.875,mobilenet
mobilenetv3_small_075,2041872,222,0,53,1,0,0,34,0,1000,ImageNet-1K,23,blocks.2.2.conv_dw,mobilenetv3_small_075,0.875,mobilenet
mobilenetv3_small_100,2542856,222,0,53,1,0,0,34,0,1000,ImageNet-1K,23,blocks.2.2.conv_dw,mobilenetv3_small_100,0.875,mobilenet
mobilevit_s,5578632,391,0,35,37,7,0,53,9,1000,ImageNet-1K,22,stages.3.0.conv2_kxk.conv,mobilevit_s,0.9,levit
mobilevit_xs,2317848,391,0,35,37,7,0,53,9,1000,ImageNet-1K,22,stages.3.0.conv2_kxk.conv,mobilevit_xs,0.9,levit
mobilevit_xxs,1272024,392,0,35,37,7,0,53,9,1000,ImageNet-1K,22,stages.3.0.conv2_kxk.conv,mobilevit_xxs,0.9,levit
mobilevitv2_050,1370593,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_050,0.888,levit
mobilevitv2_075,2866009,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_075,0.888,levit
mobilevitv2_100,4901841,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_100,0.888,levit
mobilevitv2_125,7478089,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_125,0.888,levit
mobilevitv2_150,10594753,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_150,0.888,levit
mobilevitv2_150_384_in22ft1k,10594753,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_150_384_in22ft1k,1.0,levit
mobilevitv2_150_in22ft1k,10594753,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_150_in22ft1k,0.888,levit
mobilevitv2_175,14251833,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_175,0.888,levit
mobilevitv2_175_384_in22ft1k,14251833,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_175_384_in22ft1k,1.0,levit
mobilevitv2_175_in22ft1k,14251833,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_175_in22ft1k,0.888,levit
mobilevitv2_200,18449329,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_200,0.888,levit
mobilevitv2_200_384_in22ft1k,18449329,332,0,64,1,6,0,25,18,1000,ImageNet-1K,14,stages.2.1.conv_kxk.conv,mobilevitv2_200_384_in22ft1k,1.0,levit
