ModelName,Response,Corr,Trial,CorrRes,Duration,Feedback
vgg19-block4-conv2-unpooling-encoder,2,1,9,2,300,False
vgg19-block4-conv2-unpooling-encoder,2,1,10,2,300,False
vgg19-block4-conv2-unpooling-encoder,2,1,11,2,300,False
vgg19-block4-conv2-unpooling-encoder,1,1,12,1,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,13,3,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,14,2,500,False
vgg19-block4-conv2-unpooling-encoder,1,1,15,1,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,16,2,500,False
vgg19-block4-conv2-unpooling-encoder,1,1,17,1,500,False
vgg19-block4-conv2-unpooling-encoder,2,0,18,3,500,False
vgg19-block4-conv2-unpooling-encoder,2,0,19,1,500,False
vgg19-block4-conv2-unpooling-encoder,2,0,20,1,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,21,2,500,False
vgg19-block4-conv2-unpooling-encoder,1,1,22,1,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,23,3,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,24,3,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,25,2,500,False
vgg19-block4-conv2-unpooling-encoder,2,0,26,3,500,False
vgg19-block4-conv2-unpooling-encoder,1,0,27,2,500,False
vgg19-block4-conv2-unpooling-encoder,2,0,28,1,750,False
vgg19-block4-conv2-unpooling-encoder,3,1,29,3,750,False
vgg19-block4-conv2-unpooling-encoder,1,0,30,2,750,False
vgg19-block4-conv2-unpooling-encoder,1,0,31,3,750,False
vgg19-block4-conv2-unpooling-encoder,1,0,32,2,750,False
vgg19-block4-conv2-unpooling-encoder,1,1,33,1,750,False
vgg19-block4-conv2-unpooling-encoder,1,0,34,3,750,False
vgg19-block4-conv2-unpooling-encoder,1,1,35,1,750,False
vgg19-block4-conv2-unpooling-encoder,2,1,36,2,750,False
vgg19-block4-conv2-unpooling-encoder,1,0,37,3,750,False
vgg19-block4-conv2-unpooling-encoder,1,1,38,1,750,False
vgg19-block4-conv2-unpooling-encoder,1,0,39,2,750,False
vgg19-block4-conv2-unpooling-encoder,1,0,40,3,1000,False
