Model,Count
ig_resnext101_32x48d,1
inception_resnet_v2,1
inception_v3,1
inception_v4,1
jx_nest_base,1
jx_nest_small,1
jx_nest_tiny,1
lambda_resnet26rpt_256,1
hrnet_w32,1
hrnet_w40,1
hrnet_w44,1
hrnet_w48,1
hrnet_w64,1
ig_resnext101_32x8d,1
ig_resnext101_32x16d,1
ig_resnext101_32x32d,1
hardcorenas_c,1
hardcorenas_d,1
hardcorenas_e,1
hardcorenas_f,1
hrnet_w18,1
hrnet_w18_small,1
hrnet_w18_small_v2,1
hrnet_w30,1
gmixer_24_224,1
gmlp_s16_224,1
halo2botnet50ts_256,1
halonet26t,1
halonet50ts,1
haloregnetz_b,1
hardcorenas_a,1
hardcorenas_b,1
maxvit_tiny_rw_224,1
mixer_b16_224,1
mixer_b16_224_in21k,1
mixer_b16_224_miil,1
mixer_b16_224_miil_in21k,1
mixer_l16_224,1
mixer_l16_224_in21k,1
mixnet_l,1
levit_128s,1
levit_192,1
levit_256,1
levit_384,1
maxvit_nano_rw_256,1
maxvit_rmlp_nano_rw_256,1
maxvit_rmlp_pico_rw_256,1
maxvit_rmlp_tiny_rw_256,1
legacy_seresnet34,1
legacy_seresnet50,1
legacy_seresnet101,1
legacy_seresnet152,1
legacy_seresnext26_32x4d,1
legacy_seresnext50_32x4d,1
legacy_seresnext101_32x4d,1
levit_128,1
lambda_resnet26t,1
lambda_resnet50ts,1
lamhalobotnet50ts_256,1
lcnet_050,1
lcnet_075,1
lcnet_100,1
legacy_senet154,1
legacy_seresnet18,1
mvitv2_small,1
mvitv2_tiny,1
nasnetalarge,1
nf_regnet_b1,1
nf_resnet50,1
nfnet_l0,1
pit_b_224,1
pit_b_distilled_224,1
mobilevitv2_175,1
mobilevitv2_175_384_in22ft1k,1
mobilevitv2_175_in22ft1k,1
mobilevitv2_200,1
mobilevitv2_200_384_in22ft1k,1
mobilevitv2_200_in22ft1k,1
mvitv2_base,1
mvitv2_large,1
mobilevit_xxs,1
mobilevitv2_050,1
mobilevitv2_075,1
mobilevitv2_100,1
mobilevitv2_125,1
mobilevitv2_150,1
mobilevitv2_150_384_in22ft1k,1
mobilevitv2_150_in22ft1k,1
mixnet_m,1
mixnet_s,1
mixnet_xl,1
mnasnet_100,1
mnasnet_small,1
mobilenetv3_large_100_miil_in21k,1
mobilevit_s,1
mobilevit_xs,1
regnetx_016,1
regnetx_032,1
regnetx_040,1
regnetx_064,1
regnetx_080,1
regnetx_120,1
regnetx_160,1
regnetx_320,1
pvt_v2_b3,1
pvt_v2_b4,1
regnetv_040,1
regnetv_064,1
regnetx_002,1
regnetx_004,1
regnetx_006,1
regnetx_008,1
poolformer_m48,1
poolformer_s12,1
poolformer_s24,1
poolformer_s36,1
pvt_v2_b0,1
pvt_v2_b1,1
pvt_v2_b2,1
pvt_v2_b2_li,1
pit_s_224,1
pit_s_distilled_224,1
pit_ti_224,1
pit_ti_distilled_224,1
pit_xs_224,1
pit_xs_distilled_224,1
pnasnet5large,1
poolformer_m36,1
repvgg_b1g4,1
repvgg_b2,1
repvgg_b2g4,1
repvgg_b3,1
repvgg_b3g4,1
res2net50_14w_8s,1
res2net50_26w_4s,1
res2net50_26w_6s,1
regnetz_c16_evos,1
regnetz_d8,1
regnetz_d8_evos,1
regnetz_d32,1
regnetz_e8,1
repvgg_a2,1
repvgg_b0,1
repvgg_b1,1
regnety_080,1
regnety_120,1
regnety_160,1
regnety_320,1
regnetz_040,1
regnetz_040h,1
regnetz_b16,1
regnetz_c16,1
regnety_002,1
regnety_004,1
regnety_006,1
regnety_008,1
regnety_016,1
regnety_032,1
regnety_040,1
regnety_064,1
resnet50,1
resnet61q,1
