Binary Attribute,Continuous Attribute,Correlation,p-value
Has Bottlenecks,Number of Output Features,0.06468743460152343,0.09334241252324425
Has Skip Connections,Number of Parameters,0.06363602224852472,0.09880107909118473
Has Dense Layers,Number of Last Layer Parameters,0.06288954587560942,0.1195400057959955
Has Attention Layers,Number of First Layer Parameters,-0.062447919613814545,0.12216394233847626
Has Skip Connections,Number of Highest Internal Layer Parameters,0.05642764231731781,0.16675215893283046
Has Skip Connections,Number of Output Features,0.056336573965016415,0.14400770818840797
Has Skip Connections,Number of Layers,0.055239831566009416,0.15198893726357895
Has Skip Connections,Number of Dense Layers,0.054709871386975625,0.156891379127972
Tokenized,Number of Pooling Layers,-0.053141382979252874,0.16914328908300458
Has Residual Blocks,Number of Pooling Layers,0.05291946797306507,0.1709330261919477
Tokenized,Number of Recurrent Layers,-0.0526718683179163,0.1729465699957831
Transformer,Number of Recurrent Layers,-0.05185854992453318,0.1796852023817542
Has Dense Layers,Number of Layers,0.05154690554065038,0.18134011646412523
Has Attention Layers,Number of Recurrent Layers,-0.04742714511293705,0.21984630869293145
Has Bottlenecks,Number of Highest Internal Layer Parameters,-0.04679205361778978,0.25166399615389196
Has Residual Blocks,Number of Lowest Internal Layer Parameters,0.0464972616095811,0.25466672653452843
Has Residual Blocks,Number of Output Features,0.04570625171823605,0.2360094978713886
Has Dense Layers,Number of Output Features,0.04170945067143658,0.2795632673122358
Has Bottlenecks,Number of Lowest Internal Layer Parameters,0.03829257434140569,0.3482824608073655
Has Residual Blocks,Number of Highest Internal Layer Parameters,-0.033868057591878206,0.4068289001020316
Has Dense Layers,Number of Convolutional Layers,-0.03295996376405347,0.39397897695162826
Has Bottlenecks,Number of First Layer Parameters,0.031178200030047568,0.4406011060696497
Has Skip Connections,Number of Pooling Layers,0.027350268543626273,0.47939022884861626
Has Skip Connections,Number of Last Layer Parameters,0.027085140478141347,0.5029224215942095
Has Attention Layers,Number of Last Layer Parameters,0.02665518018626381,0.5097284586374095
Has Skip Connections,Number of First Layer Parameters,-0.02246526339742476,0.5784822356042844
Tokenized,Number of Last Layer Parameters,-0.015081079290759978,0.7091825803241182
Has Dense Layers,Number of Normalization Layers,-0.014011121600864776,0.7171424105494567
Has Residual Blocks,Number of Parameters,0.01325650276464861,0.7311959381614669
Has Dense Layers,Number of Recurrent Layers,0.012666871222382118,0.7432747779709387
Has Bottlenecks,Number of Layers,0.011196913546385023,0.7716951312037892
Has Bottlenecks,Number of Parameters,-0.010896925515038083,0.7776491520062649
Has Skip Connections,Number of Normalization Layers,0.007381779701739451,0.8486343000337111
Has Skip Connections,Number of Convolutional Layers,-0.004496898084201538,0.9074389141321556
Transformer,Number of Last Layer Parameters,-0.0033494129453730103,0.9339896634317589
Has Dense Layers,Number of Parameters,-0.0019144752554457753,0.9604328137330225
Has Dense Layers,Number of Highest Internal Layer Parameters,0.0009797316399413896,0.9808618339636743
