Model,Parameters,Layers,Residual Blocks,Conv Layers,Dense Layers,Bottlenecks,Pooling Layers,Normalization Layers,Recurrent Layers,Attention Layers,Output Features,Training Dataset,RF25 Layer Number,RF25 Layer Name,MAX RF,Family,Architecture,Crop Percentage
brain-segmentation-pytorch,7763041,73,0,19,0,0,4,18,0,0,1,https://www.kaggle.com/datasets/mateuszbuda/lgg-mri-segmentation,1,conv,1,unet,NA,NA
nts-net,29033133,163,16,59,3,16,1,53,0,0,200,CUB200 2011,UNCALCULATED,UNCALCULATED,UNCALCULATED,ntsnet,NA,NA
