Last Layer Parameters,Layers,Attention Layers,Crop Percentage,Bottlenecks,Residual Blocks,Origin,First Layer Parameters,Family,Training Dataset,Pooling Layers,Normalization Layers,Output Features,Conv Layers,Recurrent Layers,Lowest Internal Layer Parameters,MAX RF,Architecture,Highest Internal Layer Parameters,Max RF,RF25 Layer Number,Model,Parameters,RF25 Layer Name,Dense Layers,Has Convolutional Layers,Has Residual Blocks,Has Dense Layers,Has Bottlenecks,Has Recurrent Layers,Has Skip Connections,Has Attention Layers,Tokenized,Transformer,Has ReLU,Has GeLU,Other,Year Made,Learning Type,Primary Application,Key Distinguishing Feature,Pooling Type
1025000.0,55.8,0.0,0.875,0.0,0.0,timm,6953856.0,densenet,ImageNet-1K,4.0,121.0,1000,120.0,0.0,,,densenet121,,,,densenet121,7.978856,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Dense Connectivity,"Max, Average"
1665000.0,77.4,0.0,0.875,0.0,0.0,timm,12484480.0,densenet,ImageNet-1K,4.0,169.0,1000,168.0,0.0,,,densenet169,,,,densenet169,14.14948,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Dense Connectivity,"Max, Average"
1921000.0,91.8,0.0,0.875,0.0,0.0,timm,18092928.0,densenet,ImageNet-1K,4.0,201.0,1000,200.0,0.0,,,densenet201,,,,densenet201,20.013928,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2014.0,Supervised,Image Classification,Dense Connectivity,"Max, Average"
0.0,14.6,0.0,0.875,0.0,0.0,timm,2384.0,dla,ImageNet-1K,6.0,37.0,1000,38.0,0.0,2336.0,,dla34,9050112.0,,,dla34,15.742104,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,16.8,0.0,0.875,12.0,0.0,timm,2384.0,dla,ImageNet-1K,6.0,48.0,1000,49.0,0.0,2336.0,,dla46_c,609280.0,,,dla46_c,1.3014,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,16.8,0.0,0.875,12.0,0.0,timm,2384.0,dla,ImageNet-1K,6.0,48.0,1000,49.0,0.0,2336.0,,dla46x_c,466944.0,,,dla46x_c,1.06844,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,22.2,0.0,0.875,16.0,0.0,timm,2384.0,dla,ImageNet-1K,7.0,63.0,1000,64.0,0.0,2336.0,,dla60,9917440.0,,,dla60,22.036632,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,32.2,0.0,0.875,0.0,0.0,timm,2384.0,res2net,ImageNet-1K,11.0,95.0,1000,96.0,0.0,2336.0,,dla60_res2net,9436416.0,,,dla60_res2net,20.848072,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Hierarchical Residual-Like Connections,Average
0.0,32.2,0.0,0.875,0.0,0.0,timm,2384.0,res2next,ImageNet-1K,11.0,95.0,1000,96.0,0.0,2336.0,,dla60_res2next,7678976.0,,,dla60_res2next,17.032984,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Enhanced Grouped Convolutions,Average
0.0,22.2,0.0,0.875,16.0,0.0,timm,2384.0,dla,ImageNet-1K,7.0,63.0,1000,64.0,0.0,2336.0,,dla60x,7828480.0,,,dla60x,17.352344,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,22.0,0.0,0.875,16.0,0.0,timm,2384.0,dla,ImageNet-1K,7.0,62.0,1000,63.0,0.0,2336.0,,dla60x_c,494848.0,,,dla60x_c,1.319832,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,37.8,0.0,0.875,28.0,0.0,timm,2384.0,dla,ImageNet-1K,9.0,105.0,1000,106.0,0.0,2336.0,,dla102,19899392.0,,,dla102,33.268888,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,37.8,0.0,0.875,28.0,0.0,timm,2384.0,dla,ImageNet-1K,9.0,105.0,1000,106.0,0.0,2336.0,,dla102x,15787008.0,,,dla102x,26.309272,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,37.8,0.0,0.875,28.0,0.0,timm,2384.0,dla,ImageNet-1K,9.0,105.0,1000,106.0,0.0,2336.0,,dla102x2,25256960.0,,,dla102x2,41.2822,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
0.0,61.2,0.0,0.875,46.0,0.0,timm,2384.0,dla,ImageNet-1K,11.0,168.0,1000,169.0,0.0,2336.0,,dla169,39863296.0,,,dla169,53.38972,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,"Image Classification, Image Segmentation",Deep Layer Aggregation for Improved Representation,"Max, Average, Strided"
3073000.0,22.6,0.0,0.9,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,81.0,0.0,4724736.0,,dm_nfnet_f0,63593856.0,,,dm_nfnet_f0,71.489284,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,41.8,0.0,0.91,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,153.0,0.0,4724736.0,,dm_nfnet_f1,124738816.0,,,dm_nfnet_f1,132.634256,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,61.0,0.0,0.92,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,225.0,0.0,4724736.0,,dm_nfnet_f2,185883776.0,,,dm_nfnet_f2,193.779228,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,80.2,0.0,0.94,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,297.0,0.0,4724736.0,,dm_nfnet_f3,247028736.0,,,dm_nfnet_f3,254.9242,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,99.4,0.0,0.951,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,369.0,0.0,4724736.0,,dm_nfnet_f4,308173696.0,,,dm_nfnet_f4,316.069172,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,118.6,0.0,0.954,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,441.0,0.0,4724736.0,,dm_nfnet_f5,369318656.0,,,dm_nfnet_f5,377.214144,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,137.8,0.0,0.956,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,513.0,0.0,4724736.0,,dm_nfnet_f6,430463616.0,,,dm_nfnet_f6,438.359116,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
0.0,38.9,0.0,0.875,0.0,0.0,timm,11778602.0,dpn,ImageNet-1K,1.0,72.0,1000,72.0,0.0,833000.0,,dpn68,833000.0,,,dpn68,12.611602,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid"
0.0,41.1,0.0,0.875,0.0,0.0,timm,11778602.0,dpn,ImageNet-1K,1.0,72.0,1000,94.0,0.0,833000.0,,dpn68b,833000.0,,,dpn68b,12.611602,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid"
0.0,51.7,0.0,0.875,0.0,0.0,timm,34979392.0,dpn,ImageNet-1K,1.0,96.0,1000,96.0,0.0,2689000.0,,dpn92,2689000.0,,,dpn92,37.668392,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid"
0.0,54.9,0.0,0.875,0.0,0.0,timm,58881728.0,dpn,ImageNet-1K,1.0,102.0,1000,102.0,0.0,2689000.0,,dpn98,2689000.0,,,dpn98,61.570728,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid"
0.0,59.7,0.0,0.875,0.0,0.0,timm,84228800.0,dpn,ImageNet-1K,1.0,111.0,1000,111.0,0.0,2689000.0,,dpn107,2689000.0,,,dpn107,86.9178,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid"
0.0,72.5,0.0,0.875,0.0,0.0,timm,76565504.0,dpn,ImageNet-1K,1.0,135.0,1000,135.0,0.0,2689000.0,,dpn131,2689000.0,,,dpn131,79.254504,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Combines ResNet and DenseNet paths,"Max, Average, Spatial Pyramid"
2049000.0,23.2,0.0,0.95,8.0,0.0,timm,26232.0,botnext,ImageNet-1K,2.0,31.0,1000,31.0,0.0,8487349.0,,eca_botnext26ts_256,8487349.0,,,eca_botnext26ts_256,10.593301,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,2021.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Transformer Blocks in ResNeXt,Average
2049000.0,23.5,0.0,0.94,5.0,0.0,timm,26232.0,halonext,ImageNet-1K,1.0,31.0,1000,34.0,0.0,8650933.0,,eca_halonext26ts,8650933.0,,,eca_halonext26ts,10.756885,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SiLU,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Halo Attention with ResNeXt Backbone,"Max, Average, Strided"
2305000.0,19.0,0.0,1.0,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,57.0,0.0,3543552.0,,eca_nfnet_l0,18197692.0,,,eca_nfnet_l0,24.143924,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,34.6,0.0,1.0,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,105.0,0.0,4724736.0,,eca_nfnet_l1,33512312.0,,,eca_nfnet_l1,41.407728,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
3073000.0,50.2,0.0,1.0,0.0,0.0,timm,97680.0,nfnet,ImageNet-1K,3.0,0.0,1000,153.0,0.0,4724736.0,,eca_nfnet_l2,48826932.0,,,eca_nfnet_l2,56.722348,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2021.0,Supervised,Image Classification,Normalization-Free ResNet with High Performance,Average
1281000.0,28.9,0.0,0.9,10.0,0.0,timm,26232.0,resnet,ImageNet-1K,0.0,38.0,1000,38.0,0.0,1966080.0,,eca_resnet33ts,16363566.0,,,eca_resnet33ts,19.676302,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,23.8,0.0,0.9,8.0,0.0,timm,26232.0,resnext,ImageNet-1K,1.0,31.0,1000,31.0,0.0,8192036.0,,eca_resnext26ts,8192036.0,,,eca_resnext26ts,10.297988,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average"
2049000.0,15.6,0.0,0.95,8.0,8.0,timm,26104.0,resnet,ImageNet-1K,4.0,31.0,1000,31.0,0.0,128.0,,ecaresnet26t,10502158.0,,,ecaresnet26t,16.011916,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,27.6,0.0,0.875,16.0,16.0,timm,28640.0,resnet,ImageNet-1K,4.0,55.0,1000,55.0,0.0,128.0,,ecaresnet50d,14964757.0,,,ecaresnet50d,25.57635,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2023000.0,27.6,0.0,0.875,16.0,16.0,timm,28640.0,resnet,ImageNet-1K,4.0,55.0,1000,55.0,0.0,128.0,,ecaresnet50d_pruned,12241013.0,,,ecaresnet50d_pruned,19.939713,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,27.6,0.0,0.95,16.0,16.0,timm,26104.0,resnet,ImageNet-1K,4.0,55.0,1000,55.0,0.0,128.0,,ecaresnet50t,14964757.0,,,ecaresnet50t,25.573814,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,53.1,0.0,0.875,33.0,33.0,timm,28640.0,resnet,ImageNet-1K,4.0,106.0,1000,106.0,0.0,128.0,,ecaresnet101d,26090611.0,,,ecaresnet101d,44.568563,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2043000.0,53.1,0.0,0.875,33.0,33.0,timm,28640.0,resnet,ImageNet-1K,4.0,106.0,1000,106.0,0.0,128.0,,ecaresnet101d_pruned,11450552.0,,,ecaresnet101d_pruned,24.87604,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,137.1,0.0,1.0,89.0,89.0,timm,28640.0,resnet,ImageNet-1K,4.0,274.0,1000,274.0,0.0,128.0,,ecaresnet269d,54020336.0,,,ecaresnet269d,102.093077,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,26.9,0.0,0.875,16.0,16.0,timm,9408.0,resnet,ImageNet-1K,4.0,53.0,1000,53.0,0.0,128.0,,ecaresnetlight,14964757.0,,,ecaresnetlight,30.162046,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
586168.0,23.8,0.0,0.95,0.0,0.0,timm,4080.0,edgenext,ImageNet-1K,0.0,26.0,1000,26.0,0.0,17914924.0,,edgenext_base,17914924.0,,,edgenext_base,18.511292,,43.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid"
305608.0,23.8,0.0,0.95,0.0,0.0,timm,2448.0,edgenext,ImageNet-1K,0.0,26.0,1000,26.0,0.0,5275408.0,,edgenext_small,5275408.0,,,edgenext_small,5.586832,,43.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid"
385768.0,23.2,0.0,0.9,0.0,0.0,timm,11760.0,edgenext,ImageNet-1K,0.0,23.0,1000,23.0,0.0,7424976.0,,edgenext_small_rw,7424976.0,,,edgenext_small_rw,7.826512,,43.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid"
193384.0,23.8,0.0,0.9,0.0,0.0,timm,1632.0,edgenext,ImageNet-1K,0.0,26.0,1000,26.0,0.0,2139656.0,,edgenext_x_small,2139656.0,,,edgenext_x_small,2.336804,,43.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid"
169336.0,17.8,0.0,0.9,0.0,0.0,timm,1224.0,edgenext,ImageNet-1K,0.0,20.0,1000,20.0,0.0,1155332.0,,edgenext_xx_small,1155332.0,,,edgenext_xx_small,1.327216,,31.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency on Edge Devices,"Average, Spatial Pyramid"
449000.0,22.8,1.0,0.95,0.0,0.0,timm,11232.0,efficientformer,ImageNet-1K,14.0,36.0,1000,33.0,0.0,896.0,,efficientformer_l1,11379408.0,,,efficientformer_l1,12.289928,,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency in Image Processing for Transformers,Average
513000.0,37.7,4.0,0.95,0.0,0.0,timm,19584.0,efficientformer,ImageNet-1K,22.0,58.0,1000,49.0,0.0,1024.0,,efficientformer_l3,30357824.0,,,efficientformer_l3,31.406,,18.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency in Image Processing for Transformers,Average
769000.0,54.1,8.0,0.95,0.0,0.0,timm,43200.0,efficientformer,ImageNet-1K,30.0,82.0,1000,65.0,0.0,1536.0,,efficientformer_l7,80643456.0,,,efficientformer_l7,82.229328,,34.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Efficiency in Image Processing for Transformers,Average
1793000.0,62.1,0.0,1.0,0.0,0.0,timm,1296.0,efficientnet,ImageNet-1K,0.0,96.0,1000,160.0,0.0,802816.0,,efficientnet_b4,16619304.0,,,efficientnet_b4,19.341616,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Image Classification,Compound Scaling Method,Average
1793000.0,70.0,0.0,1.0,0.0,0.0,timm,648.0,efficientnetv2,ImageNet-1K,0.0,112.0,1000,172.0,0.0,487424.0,,efficientnetv2_rw_s,21499376.0,,,efficientnetv2_rw_s,23.941296,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
1537000.0,100.8,0.0,0.8975,0.0,0.0,timm,928.0,inception_resnet,ImageNet-1K,5.0,204.0,1000,244.0,0.0,5280.0,,ens_adv_inception_resnet_v2,22535680.0,,,ens_adv_inception_resnet_v2,55.843464,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2016.0,Supervised,Image Classification,Inception with Residual Connections,Average
1025000.0,16.9,0.0,0.875,0.0,0.0,timm,11456.0,vovnet,ImageNet-1K,3.0,23.0,1000,41.0,0.0,5495872.0,,ese_vovnet19b_dw,5495872.0,,,ese_vovnet19b_dw,6.54308,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Object Detection,One shot aggregation,Max
1025000.0,23.9,0.0,0.875,0.0,0.0,timm,112832.0,vovnet,ImageNet-1K,3.0,39.0,1000,43.0,0.0,23411200.0,,ese_vovnet39b,23411200.0,,,ese_vovnet39b,24.568936,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Object Detection,One shot aggregation,Max
1985000.0,33.6,0.0,0.875,0.0,0.0,timm,432.0,fbnet,ImageNet-1K,0.0,65.0,1000,65.0,0.0,698368.0,,fbnetc_100,2844032.0,,,fbnetc_100,5.5722,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average
1985000.0,52.5,0.0,0.95,0.0,0.0,timm,432.0,fbnet,ImageNet-1K,0.0,87.0,1000,124.0,0.0,2666496.0,,fbnetv3_b,3900136.0,,,fbnetv3_b,8.598464,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average
1985000.0,57.4,0.0,0.95,0.0,0.0,timm,648.0,fbnet,ImageNet-1K,0.0,96.0,1000,135.0,0.0,2856960.0,,fbnetv3_d,5407056.0,,,fbnetv3_d,10.306272,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average
1985000.0,64.6,0.0,0.95,0.0,0.0,timm,864.0,fbnet,ImageNet-1K,0.0,107.0,1000,154.0,0.0,3428352.0,,fbnetv3_g,11118808.0,,,fbnetv3_g,16.623888,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2019.0,Supervised,Mobile Optimization,Differentiable Neural Architecture Search,Average
1025000.0,78.7,0.0,1.0,0.0,0.0,timm,648.0,efficientnetv2,ImageNet-1K,0.0,136.0,1000,194.0,0.0,212992.0,,gc_efficientnetv2_rw_t,12320049.0,,,gc_efficientnetv2_rw_t,13.677713,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2021.0,Supervised,Image Classification,Training-aware Optimizations,"Max, Average"
1281000.0,34.9,0.0,0.9,10.0,0.0,timm,26232.0,resnet,ImageNet-1K,0.0,48.0,1000,68.0,0.0,1966080.0,,gcresnet33ts,16567962.0,,,gcresnet33ts,19.880698,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,52.5,0.0,0.9,16.0,0.0,timm,26232.0,resnet,ImageNet-1K,0.0,71.0,1000,103.0,0.0,23768856.0,,gcresnet50t,23768856.0,,,gcresnet50t,25.89708,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2015.0,Supervised,"Image Classification, Object Detection, Image Segmentation",Deep Residual Learning for Image Recognition,"Max, Average"
2049000.0,28.6,0.0,0.9,8.0,0.0,timm,26232.0,resnext,ImageNet-1K,1.0,39.0,1000,55.0,0.0,8370648.0,,gcresnext26ts,8370648.0,,,gcresnext26ts,10.4766,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average"
2049000.0,52.6,0.0,0.9,16.0,0.0,timm,26232.0,resnext,ImageNet-1K,1.0,71.0,1000,103.0,0.0,13539096.0,,gcresnext50ts,13539096.0,,,gcresnext50ts,15.66732,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,2017.0,Supervised,Image Classification,Grouped Convolutions,"Max, Average"
1025000.0,75.5,31.0,0.875,0.0,0.0,timm,177280.0,gcvit,ImageNet-1K,5.0,71.0,1000,49.0,0.0,89118556.0,,gcvit_base,89118556.0,,,gcvit_base,90.320836,,125.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token"
769000.0,75.5,31.0,0.875,0.0,0.0,timm,100704.0,gcvit,ImageNet-1K,5.0,71.0,1000,49.0,0.0,50222469.0,,gcvit_small,50222469.0,,,gcvit_small,51.092173,,125.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token"
513000.0,75.5,31.0,0.875,0.0,0.0,timm,45632.0,gcvit,ImageNet-1K,5.0,71.0,1000,49.0,0.0,27663342.0,,gcvit_tiny,27663342.0,,,gcvit_tiny,28.221974,,125.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,2022.0,Supervised,Image Classification,Global Context in Self-Attention,"Average, Class Token"
